jenis_ikan_nama_latin,jenis_ikan,nama_latin,kode_fao,kelompok_sdi
Abalon - Haliotis Asinina,Abalon,Haliotis Asinina,LIY,binatang lunak
Abalon - Haliotis Diversicolor Squamata,Abalon,Haliotis Diversicolor Squamata,,binatang lunak
Abalon - Haliotis Fulgens,Abalon,Haliotis Fulgens,HRW,binatang lunak
Abalon - Haliotis Iris,Abalon,Haliotis Iris,DZS,binatang lunak
Abalon - Haliotis Laevigata,Abalon,Haliotis Laevigata,UQK,binatang lunak
Abalon - Haliotis Midae,Abalon,Haliotis Midae,ABP,binatang lunak
Abalon - Haliotis Tuberculata,Abalon,Haliotis Tuberculata,HLT,binatang lunak
Abalon - Vivere Haliotis,Abalon,Vivere Haliotis,,binatang lunak
Albakora - Thunnus Alalunga,Albakora,Thunnus Alalunga,ALB,Pelagis Besar
Alu-Alu - Sphyraena Obtusata,Alu-Alu,Sphyraena Obtusata,YRB,Pelagis Kecil
Alu-Alu Besar - Sphyraena Barracuda,Alu-Alu Besar,Sphyraena Barracuda,GBA,Pelagis Kecil
Alu-Alu Gigi Gergaji - Sphyraena Putnamae,Alu-Alu Gigi Gergaji,Sphyraena Putnamae,BAN,Pelagis Kecil
Alu-Alu Jelo - Sphyraena Jello,Alu-Alu Jelo,Sphyraena Jello,BAC,Pelagis Kecil
Alu-Alu Mata Besar - Sphyraena Forsteri,Alu-Alu Mata Besar,Sphyraena Forsteri,YBS,Pelagis Kecil
Alu-Alu Sirip Hitam - Sphyraena Qenie,Alu-Alu Sirip Hitam,Sphyraena Qenie,BAB,Pelagis Kecil
Ambangan - Acropoma Argentistigma,Ambangan,Acropoma Argentistigma,FDC,Demersal
Ambangan Buntet - Beryx Decadactylus,Ambangan Buntet,Beryx Decadactylus,BXD,Demersal
Ambangan Hitam Berduri - Acanthopagrus Pacificus,Ambangan Hitam Berduri,Acanthopagrus Pacificus,,Demersal
Ambangan Merah Bintik Biru - Pagrus Auratus,Ambangan Merah Bintik Biru,Pagrus Auratus,GSU,Demersal
Ambangan Merah Moncong Kuning - Dentex Carpenteri,Ambangan Merah Moncong Kuning,Dentex Carpenteri,,Demersal
Ambangan Merah Punggung Kuning - Dentex Spariformis,Ambangan Merah Punggung Kuning,Dentex Spariformis,,Demersal
Ande Ande - Grammatorcynus Bilineatus,Ande Ande,Grammatorcynus Bilineatus,DBM,Demersal
Anemon Condylactis Gigantea - Condylactis Gigantea,Anemon Condylactis Gigantea,Condylactis Gigantea,,ikan karang
Anemon Entacmea Quadricolor - Entacmaea Quadricolor,Anemon Entacmea Quadricolor,Entacmaea Quadricolor,,ikan karang
Anggur Laut - Caulerpa Webbiana,Anggur Laut,Caulerpa Webbiana,,tumbuhan air lainnya
Angler - Lophius Piscatorius,Angler,Lophius Piscatorius,MON,demersal
Anjer Eye-Bar Goby - Gnatholepis Anjerensis,Anjer Eye-Bar Goby,Gnatholepis Anjerensis,GTC,ikan karang
Anthias - Dactylanthias Aplodactylus,Anthias,Dactylanthias Aplodactylus,,ikan karang
Antoan - Caesio Xanthonota,Antoan,Caesio Xanthonota,IHA,Ikan Karang
Artemia - Artemia Salina,Artemia,Artemia Salina,AMS,binatang berkulit keras
Asin Pakang - Thryssa Kammalensis,Asin Pakang,Thryssa Kammalensis,EYK,Pelagis Kecil
Ayama-Ayam Largescale - Canthidermis Macrolepis,Ayama-Ayam Largescale,Canthidermis Macrolepis,NHR,ikan karang
Ayam-Ayam - Cantheschenia Longipinnis,Ayam-Ayam,Cantheschenia Longipinnis,,demersal
Ayam-Ayam - Canthidermis Sufflamen,Ayam-Ayam,Canthidermis Sufflamen,CZT,ikan karang
Ayam-Ayam - Oligoplites Saurus,Ayam-Ayam,Oligoplites Saurus,OLI,ikan karang
Ayam-Ayam Boomerang - Sufflamen Bursa,Ayam-Ayam Boomerang,Sufflamen Bursa,,ikan karang
Ayam-Ayam Broom - Amanses Scopas,Ayam-Ayam Broom,Amanses Scopas,NSK,ikan karang
Ayam-Ayam Fanbelly - Monacanthus Chinensis,Ayam-Ayam Fanbelly,Monacanthus Chinensis,MNK,ikan karang
Ayam-Ayam Finescale - Balistes Polylepis,Ayam-Ayam Finescale,Balistes Polylepis,BIY,demersal
Ayam-Ayam Greenfin - Thamnaconus Septentrionalis,Ayam-Ayam Greenfin,Thamnaconus Septentrionalis,KSE,demersal
Ayam-Ayam Grey - Balistes Capriscus,Ayam-Ayam Grey,Balistes Capriscus,TRG,ikan karang
Ayam-Ayam Gulf - Paramonacanthus Arabicus,Ayam-Ayam Gulf,Paramonacanthus Arabicus,QZR,demersal
Ayam-Ayam Hairfin - Paramonacanthus Japonicus,Ayam-Ayam Hairfin,Paramonacanthus Japonicus,,ikan karang
Ayam-Ayam Large-Scaled Leather - Cantheschenia Grandisquamis,Ayam-Ayam Large-Scaled Leather,Cantheschenia Grandisquamis,AHQ,ikan karang
Ayam-Ayam Manyspot - Thamnaconus Tesselatus,Ayam-Ayam Manyspot,Thamnaconus Tesselatus,,demersal
Ayam-Ayam Pig Faced Leather Jacket - Paramonacanthus Choirocephalus,Ayam-Ayam Pig Faced Leather Jacket,Paramonacanthus Choirocephalus,QZQ,ikan karang
Ayam-Ayam Pot-Bellied - Pseudomonacanthus Peroni,Ayam-Ayam Pot-Bellied,Pseudomonacanthus Peroni,,ikan karang
Ayam-Ayam Prickly - Chaetodermis Penicilligerus,Ayam-Ayam Prickly,Chaetodermis Penicilligerus,HDE,ikan karang
Ayam-Ayam Radial - Acreichthys Radiatus,Ayam-Ayam Radial,Acreichthys Radiatus,,ikan karang
Ayam-Ayam Red--Tailed - Pervagor Janthinosoma,Ayam-Ayam Red--Tailed,Pervagor Janthinosoma,,ikan karang
Ayam-Ayam Rhinoceros - Pseudaluteres Nasicornis,Ayam-Ayam Rhinoceros,Pseudaluteres Nasicornis,,ikan karang
Ayam-Ayam Spectacled - Cantherhines Fronticinctus,Ayam-Ayam Spectacled,Cantherhines Fronticinctus,,ikan karang
Ayam-Ayam Striped - Xanthichthys Lineopunctatus,Ayam-Ayam Striped,Xanthichthys Lineopunctatus,,ikan karang
Ayam-Ayam Wirenet - Cantherhines Pardalis,Ayam-Ayam Wirenet,Cantherhines Pardalis,,ikan karang
Ayam-Ayam Yellow-Spotted - Pseudobalistes Fuscus,Ayam-Ayam Yellow-Spotted,Pseudobalistes Fuscus,,ikan karang
Ayam-Ayam; Kambing-Kambing - Abalistes Filamentosus,Ayam-Ayam; Kambing-Kambing,Abalistes Filamentosus,DWF,Ikan Karang
Ayam-Ayam; Kambing-Kambing - Acreichthys Tomentosus,Ayam-Ayam; Kambing-Kambing,Acreichthys Tomentosus,,Ikan Karang
Ayam-Ayam; Kambing-Kambing - Balistapus Undulatus,Ayam-Ayam; Kambing-Kambing,Balistapus Undulatus,BID,Ikan Karang
Ayam-Ayam; Kambing-Kambing - Melichthys Niger,Ayam-Ayam; Kambing-Kambing,Melichthys Niger,MEN,Ikan Karang
Ayam-Ayam; Kambing-Kambing - Melichthys Vidua,Ayam-Ayam; Kambing-Kambing,Melichthys Vidua,MWI,Ikan Karang
Ayam-Ayam; Kambing-Kambing - Odonus Niger,Ayam-Ayam; Kambing-Kambing,Odonus Niger,ONI,Ikan Karang
Ayam-Ayam; Kambing-Kambing - Pseudobalistes Flavimarginatus,Ayam-Ayam; Kambing-Kambing,Pseudobalistes Flavimarginatus,UBV,Ikan Karang
Ayam-Ayam; Kambing-Kambing - Rhinecanthus Aculeatus,Ayam-Ayam; Kambing-Kambing,Rhinecanthus Aculeatus,HJC,Ikan Karang
Ayam-Ayam; Kambing-Kambing - Rhinecanthus Rectangulus,Ayam-Ayam; Kambing-Kambing,Rhinecanthus Rectangulus,QYN,Ikan Karang
Ayam-Ayam; Kambing-Kambing - Rhinecanthus Verrucosus,Ayam-Ayam; Kambing-Kambing,Rhinecanthus Verrucosus,QZB,Ikan Karang
Ayu - Plecoglossus Altivelis,Ayu,Plecoglossus Altivelis,PCA,demersal
Badur - Lutjanus Rufolineatus,Badur,Lutjanus Rufolineatus,LUF,Ikan Karang
Bagongan - Drepane Longimana,Bagongan,Drepane Longimana,DRL,Ikan Karang
Baji-Baji Kwee Selar - Seriola Spp,Baji-Baji Kwee Selar,Seriola Spp,AMX,Ikan Karang
Bajing Laut - Bodianus Bilunulatus,Bajing Laut,Bodianus Bilunulatus,IQU,Ikan Karang
Bambu Laut - Isis Hippuris,Bambu Laut,Isis Hippuris,,0
Bandeng Laki - Albula Argentea,Bandeng Laki,Albula Argentea,DGY,demersal
Bandeng Laki - Albula Forsteri,Bandeng Laki,Albula Forsteri,,Pelagis Kecil
Bandeng Laut - Chanos Chanos,Bandeng Laut,Chanos Chanos,MIL,Pelagis Kecil
Bandit Goby - Gladiogobius Ensifer,Bandit Goby,Gladiogobius Ensifer,GLF,ikan karang
Barakuda - Sphyraena Spp,Barakuda,Sphyraena Spp,BAR,Pelagis Kecil
Baramundi - Lates Calcarifer,Baramundi,Lates Calcarifer,GIP,Demersal
Baronang - Siganus Lineatus,Baronang,Siganus Lineatus,IGI,Ikan Karang
Baronang Batik - Siganus Javus,Baronang Batik,Siganus Javus,IGV,Ikan Karang
Baronang Batu - Siganus Punctatus,Baronang Batu,Siganus Punctatus,IGC,Ikan Karang
Baronang Bintik Putih - Siganus Canaliculatus,Baronang Bintik Putih,Siganus Canaliculatus,SCN,Ikan Karang
Baronang Kalung - Siganus Doliatus,Baronang Kalung,Siganus Doliatus,IGD,Ikan Karang
Baronang Koral - Siganus Corallinus,Baronang Koral,Siganus Corallinus,IGR,Ikan Karang
Baronang Kuning - Siganus Virgatus,Baronang Kuning,Siganus Virgatus,IUG,Ikan Karang
Baronang Kunyit - Siganus Puellus,Baronang Kunyit,Siganus Puellus,IGE,Ikan Karang
Baronang Labirin - Siganus Vermiculatus,Baronang Labirin,Siganus Vermiculatus,IUE,Ikan Karang
Baronang Lada - Siganus Stellatus,Baronang Lada,Siganus Stellatus,IUT,ikan karang
Baronang Marbled - Siganus Rivulatus,Baronang Marbled,Siganus Rivulatus,SRI,ikan karang
Baronang Moncong Panjang - Siganus Vulpinus,Baronang Moncong Panjang,Siganus Vulpinus,IUL,Ikan Karang
Baronang Perak - Siganus Argenteus,Baronang Perak,Siganus Argenteus,IGA,Ikan Karang
Baronang Pesek - Siganus Spinus,Baronang Pesek,Siganus Spinus,IUS,Ikan Karang
Baronang Tompel - Siganus Fuscescens,Baronang Tompel,Siganus Fuscescens,IGF,Ikan Karang
Baronang Totol Kuning - Siganus Guttatus,Baronang Totol Kuning,Siganus Guttatus,SGU,Ikan Karang
Barong Batu Kaki - Inimicus Sinensis,Barong Batu Kaki,Inimicus Sinensis,,ikan karang
Barong Katkat Palsu - Ablabys Taenianotus,Barong Katkat Palsu,Ablabys Taenianotus,,ikan karang
Barong Kodok Biasa Kecil - Antennatus Dorehensis,Barong Kodok Biasa Kecil,Antennatus Dorehensis,,ikan karang
Barong Kodok Coklat - Antennarius Pictus,Barong Kodok Coklat,Antennarius Pictus,,ikan karang
Barong Kodok Kuning - Antennarius Hispidus,Barong Kodok Kuning,Antennarius Hispidus,IOV,ikan karang
Barong Kodok Merah Kecil - Antennatus Coccineus,Barong Kodok Merah Kecil,Antennatus Coccineus,,ikan karang
Barong Kodok Putih - Antennarius Maculatus,Barong Kodok Putih,Antennarius Maculatus,,ikan karang
Barong Kodok Strip Asli - Antennarius Striatus,Barong Kodok Strip Asli,Antennarius Striatus,AWL,ikan karang
Barong Lepo Biasa - Halophryne Diemensis,Barong Lepo Biasa,Halophryne Diemensis,BHM,demersal
Barong Lepo Zebra - Batrachomoeus Trispinosus,Barong Lepo Zebra,Batrachomoeus Trispinosus,,ikan karang
Barong Naga Kecil Hitam - Pegasus Volitans,Barong Naga Kecil Hitam,Pegasus Volitans,PGV,demersal
Barong Radiata - Pterois Radiata,Barong Radiata,Pterois Radiata,PZR,ikan karang
Barred Short-Bodied Pipefish - Choeroichthys Cinctus,Barred Short-Bodied Pipefish,Choeroichthys Cinctus,,demersal
Barrel-Sponge Goby - Pleurosicya Labiata,Barrel-Sponge Goby,Pleurosicya Labiata,,demersal
Baslet Multi - Liopropoma Multilineatum,Baslet Multi,Liopropoma Multilineatum,,ikan karang
Basslet Pearl-Spotted Fairy - Selenanthias Analis,Basslet Pearl-Spotted Fairy,Selenanthias Analis,NHN,demersal
Basslet Square-Spot Fairy - Pseudanthias Pleurotaenia,Basslet Square-Spot Fairy,Pseudanthias Pleurotaenia,,ikan karang
Batanta Mud Goby - Acentrogobius Limarius,Batanta Mud Goby,Acentrogobius Limarius,,demersal
Batu Laga - Turbo Marmoratus,Batu Laga,Turbo Marmoratus,UOA,binatang lunak
Baung - Hemibagrus Nemurus,Baung,Hemibagrus Nemurus,MYN,Demersal
Baung Putih - Mystus Nemurus,Baung Putih,Mystus Nemurus,,Ikan Air Tawar
Bawal Hitam - Parastromateus Niger,Bawal Hitam,Parastromateus Niger,POB,Demersal
Bawal Jenggot - Rhinoprenes Pentanemus,Bawal Jenggot,Rhinoprenes Pentanemus,RIT,Demersal
Bawal Lonjong - Taractes Rubescens,Bawal Lonjong,Taractes Rubescens,TCR,Demersal
Bawal Moncong Bulat - Eumegistus Illustris,Bawal Moncong Bulat,Eumegistus Illustris,EBS,Demersal
Bawal Perak - Psenopsis Anomala,Bawal Perak,Psenopsis Anomala,BUP,demersal
Bawal Putih - Pampus Argenteus,Bawal Putih,Pampus Argenteus,SIP,Demersal
Bawal Putih - Stromateus Cinereus,Bawal Putih,Stromateus Cinereus,,Demersal
Bawal Putih Cina - Pampus Chinensis,Bawal Putih Cina,Pampus Chinensis,CPO,Demersal
Bawal Sabit - Taractichthys Steindachneri,Bawal Sabit,Taractichthys Steindachneri,TST,Demersal
Bawal Tongkat - Argyrops Spinifer,Bawal Tongkat,Argyrops Spinifer,KBR,Demersal
Bawal Tongkat Tai - Argyrops Bleekeri,Bawal Tongkat Tai,Argyrops Bleekeri,KBB,Demersal
Bayeman - Bodianus Dictynna,Bayeman,Bodianus Dictynna,,Ikan Karang
Bayeman - Cymolutes Torquatus,Bayeman,Cymolutes Torquatus,,ikan karang
Bayeman - Halichoeres Leucurus,Bayeman,Halichoeres Leucurus,,ikan karang
Bayeman Bintik Jingga - Choerodon Anchorago,Bayeman Bintik Jingga,Choerodon Anchorago,FMU,Ikan Karang
Bayeman; Keling - Anampses Geographicus,Bayeman; Keling,Anampses Geographicus,NAF,Ikan Karang
Bayeman; Keling - Choerodon Schoenleinii,Bayeman; Keling,Choerodon Schoenleinii,ODJ,Ikan Karang
Bekicot - Achatina Fulica,Bekicot,Achatina Fulica,,binatang lunak
Belalang-Paruh Jepun - Lepidotrigla Japonica,Belalang-Paruh Jepun,Lepidotrigla Japonica,,demersal
Belanak - Chelon Subviridis,Belanak,Chelon Subviridis,LZI,Pelagis Kecil
Belanak - Liza Vaigiensis,Belanak,Liza Vaigiensis,,Pelagis Kecil
Belanak - Moolgarda Perusii,Belanak,Moolgarda Perusii,,"laut, payau"
Belanak - Moolgarda Seheli,Belanak,Moolgarda Seheli,,ikan air tawar
Belanak - Planiliza Alata,Belanak,Planiliza Alata,IDY,ikan air tawar
Belanak - Planiliza Subviridis,Belanak,Planiliza Subviridis,LZI,ikan air tawar
Belanak - Valamugil Seheli,Belanak,Valamugil Seheli,VMH,Pelagis Kecil
Belanak - Valamugil Speigleri,Belanak,Valamugil Speigleri,,Pelagis Kecil
Belanak Abu-Abu - Mugil Cephalus,Belanak Abu-Abu,Mugil Cephalus,MUF,Pelagis Kecil
Belanak Bintik Biru - Crenimugil Seheli,Belanak Bintik Biru,Crenimugil Seheli,VMH,Pelagis Kecil
Belanak Ekor Persegi - Ellochelon Vaigiensis,Belanak Ekor Persegi,Ellochelon Vaigiensis,LZV,Pelagis Kecil
Belanak Jebug - Crenimugil Buchanani,Belanak Jebug,Crenimugil Buchanani,,pelagis kecil
Belanak Kadah - Osteomugil Speigleri,Belanak Kadah,Osteomugil Speigleri,VMP,Pelagis Kecil
Belanak Lengan - Osteomugil Cunnesius,Belanak Lengan,Osteomugil Cunnesius,VMC,Pelagis Kecil
Belanak Sipit - Chelon Planiceps,Belanak Sipit,Chelon Planiceps,LZT,Demersal
Belangkas Besar - Tachypleus Gigas,Belangkas Besar,Tachypleus Gigas,,binatang berkulit keras
Belangkas Padi - Carcinoscorpius Rotundicauda,Belangkas Padi,Carcinoscorpius Rotundicauda,BWU,binatang berkulit keras
Belangkas Tigaduri - Tachypleus Tridentatus,Belangkas Tigaduri,Tachypleus Tridentatus,WYP,binatang berkulit keras
Belayaran - Coelorinchus Macrorhynchus,Belayaran,Coelorinchus Macrorhynchus,,Demersal
Belly-Spotted Pygmy-Goby - Eviota Storthynx,Belly-Spotted Pygmy-Goby,Eviota Storthynx,,ikan karang
Beloso - Saurida Longimanus,Beloso,Saurida Longimanus,IEN,Demersal
Beloso - Saurida Macrolepis,Beloso,Saurida Macrolepis,,demersal
Beloso - Synodus Dermatogenys,Beloso,Synodus Dermatogenys,DFZ,ikan karang
Beloso - Synodus Jaculum,Beloso,Synodus Jaculum,DQM,demersal
Beloso - Synodus Macrocephalus,Beloso,Synodus Macrocephalus,,demersal
Beloso - Synodus Variegatus,Beloso,Synodus Variegatus,SYW,Demersal
Beloso Aesi - Saurida Gracilis,Beloso Aesi,Saurida Gracilis,IEM,Demersal
Beloso Bintik Hitam - Saurida Undosquamis,Beloso Bintik Hitam,Saurida Undosquamis,LIB,Demersal
Beloso Buntut Kebo - Saurida Tumbil,Beloso Buntut Kebo,Saurida Tumbil,LIG,Demersal
Belut Moray Besar - Gymnothorax Javanicus,Belut Moray Besar,Gymnothorax Javanicus,KLW,Demersal
Belut Moray Pasific - Gymnothorax Dorsalis,Belut Moray Pasific,Gymnothorax Dorsalis,,Demersal
Berelah - Brama Orcini,Berelah,Brama Orcini,IQV,Demersal
Betok Alpha - Chromis Alpha,Betok Alpha,Chromis Alpha,,ikan karang
Betok Batunas - Amblyglyphidodon Batunai,Betok Batunas,Amblyglyphidodon Batunai,,ikan karang
Betok Blunt Snout Gregory - Stegastes Punctatus,Betok Blunt Snout Gregory,Stegastes Punctatus,,ikan karang
Betok Laut - Abudefduf Bengalensis,Betok Laut,Abudefduf Bengalensis,DWZ,Ikan Karang
Betok Laut - Neopomacentrus Anabatoides,Betok Laut,Neopomacentrus Anabatoides,,ikan karang
Betok Philippines - Chromis Scotochilopterus,Betok Philippines,Chromis Scotochilopterus,,ikan karang
Betok Putih - Dischistodus Perspicillatus,Betok Putih,Dischistodus Perspicillatus,,ikan karang
Betok Putih Strip - Dischistodus Fasciatus,Betok Putih Strip,Dischistodus Fasciatus,,ikan karang
Betok Scaly - Pomacentrus Lepidogenys,Betok Scaly,Pomacentrus Lepidogenys,,ikan karang
Betok Smokey - Chromis Fumea,Betok Smokey,Chromis Fumea,,ikan karang
Betok Smoky - Pomacentrus Littoralis,Betok Smoky,Pomacentrus Littoralis,,ikan karang
Betok Spiny - Acanthochromis Polyacanthus,Betok Spiny,Acanthochromis Polyacanthus,AIL,ikan karang
Betok Threespot - Pomacentrus Tripunctatus,Betok Threespot,Pomacentrus Tripunctatus,QFO,ikan karang
Bia Babi - Cypraea Tigris,Bia Babi,Cypraea Tigris,YRQ,binatang lunak
Biang - Setipinna Tenuifilis,Biang,Setipinna Tenuifilis,ESU,Pelagis Kecil
Big-Toothed Goby - Macrodontogobius Wilburi,Big-Toothed Goby,Macrodontogobius Wilburi,MDW,ikan karang
Biji Nangka - Upeneus Spp,Biji Nangka,Upeneus Spp,GOX,Demersal
Biji Nangka Emas - Parupeneus Cyclostomus,Biji Nangka Emas,Parupeneus Cyclostomus,RPY,Demersal
Biji Nangka Hindia - Parupeneus Indicus,Biji Nangka Hindia,Parupeneus Indicus,RFQ,Demersal
Biji Nangka Karang - Parupeneus Barberinus,Biji Nangka Karang,Parupeneus Barberinus,RFP,Demersal
Biji Nangka Margareta - Upeneus Margarethae,Biji Nangka Margareta,Upeneus Margarethae,,Demersal
Biji Nangka Merah - Parupeneus Heptacanthus,Biji Nangka Merah,Parupeneus Heptacanthus,RQF,Demersal
Biji Nangka Strip Kuning - Upeneus Vittatus,Biji Nangka Strip Kuning,Upeneus Vittatus,UPI,Demersal
Bilis - Herklotsichthys Dispilonotus,Bilis,Herklotsichthys Dispilonotus,HKD,Pelagis Kecil
Black Dotted Sand Perch - Parapercis Millepunctata,Black Dotted Sand Perch,Parapercis Millepunctata,,ikan karang
Black-Banded Goby - Callogobius Clitellus,Black-Banded Goby,Callogobius Clitellus,,ikan karang
Black-Coral Goby - Bryaninops Tigris,Black-Coral Goby,Bryaninops Tigris,,ikan karang
Black-Line Shrimp-Goby - Myersina Nigrivirgata,Black-Line Shrimp-Goby,Myersina Nigrivirgata,,demersal
Black-Mast Shrimp-Goby - Myersina Lachneri,Black-Mast Shrimp-Goby,Myersina Lachneri,MNH,demersal
Blue Lined Squirrelfish - Sargocentron Tiere,Blue Lined Squirrelfish,Sargocentron Tiere,,ikan karang
Blue-Spotted Pipefish - Hippichthys Cyanospilos,Blue-Spotted Pipefish,Hippichthys Cyanospilos,HCY,demersal
Bole - Bolekerang Kulit - Mauritia Maculifera,Bole - Bolekerang Kulit,Mauritia Maculifera,YQM,binatang lunak
Bondol - Eublekeeria Splendens,Bondol,Eublekeeria Splendens,,demersal
Bonito Atlantic - Sarda Sarda,Bonito Atlantic,Sarda Sarda,BON,pelagis besar
Botana - Acanthurus Albipectoralis,Botana,Acanthurus Albipectoralis,,ikan karang
Botana - Acanthurus Grammoptilus,Botana,Acanthurus Grammoptilus,,ikan karang
Botana - Acanthurus Sohal,Botana,Acanthurus Sohal,AVQ,ikan karang
Botana - Naso Hexancanthus,Botana,Naso Hexancanthus,,ikan karang
Botana - Naso Unicornis,Botana,Naso Unicornis,NAS,Ikan Karang
Botana Bintik Mata - Acanthurus Bariene,Botana Bintik Mata,Acanthurus Bariene,AQR,Ikan Karang
Botana Bireun - Acanthurus Bahianus,Botana Bireun,Acanthurus Bahianus,AQB,ikan karang
Botana Coklat - Acanthurus Pyroferus,Botana Coklat,Acanthurus Pyroferus,DZL,Ikan Karang
Botana Hitam - Acanthurus Mata,Botana Hitam,Acanthurus Mata,DGW,Ikan Karang
Botana Kasur - Acanthurus Lineatus,Botana Kasur,Acanthurus Lineatus,AQI,Ikan Karang
Botana Lorek - Acanthurus Xanthopterus,Botana Lorek,Acanthurus Xanthopterus,DZU,Ikan Karang
Botana Strip Mata - Acanthurus Dussumieri,Botana Strip Mata,Acanthurus Dussumieri,,Ikan Karang
Briarium Pipefish - Apterygocampus Epinnulatus,Briarium Pipefish,Apterygocampus Epinnulatus,AYE,demersal
Broad-Banded Pipefish - Dunckerocampus Boylei,Broad-Banded Pipefish,Dunckerocampus Boylei,,demersal
Brock'S Pipefish - Halicampus Brocki,Brock'S Pipefish,Halicampus Brocki,HBK,ikan karang
Bulan-Bulan - Elops Hawaiensis,Bulan-Bulan,Elops Hawaiensis,CEW,Pelagis Besar
Bulan-Bulan - Megalops Cyprinoides,Bulan-Bulan,Megalops Cyprinoides,TAI,Pelagis Besar
Buli Hitam - Monetaria Caputserpentis,Buli Hitam,Monetaria Caputserpentis,YQC,binatang lunak
Bulu Ayam Bangkok - Thryssa Setirostris,Bulu Ayam Bangkok,Thryssa Setirostris,EYT,Pelagis Kecil
Bulu Ayam Cangkang - Thryssa Hamiltonii,Bulu Ayam Cangkang,Thryssa Hamiltonii,EYH,Pelagis Kecil
Bulu Ayam Galeberan - Setipinna Taty,Bulu Ayam Galeberan,Setipinna Taty,ESY,Pelagis Kecil
Bulu Babi - Echinus Esculentus,Bulu Babi,Echinus Esculentus,URS,Binatang Air Lainnya
Buna Emas - Platax Boersii,Buna Emas,Platax Boersii,QQH,Demersal
Bunglon Batik Jepara - Cryptocentrus Leptocephalus,Bunglon Batik Jepara,Cryptocentrus Leptocephalus,,demersal
Bunglon Muralis Jakarta - Valenciennea Muralis,Bunglon Muralis Jakarta,Valenciennea Muralis,,ikan karang
Buntal - Canthigaster Bennetti,Buntal,Canthigaster Bennetti,,ikan karang
Buntal - Canthigaster Tyleri,Buntal,Canthigaster Tyleri,,ikan karang
Buntal - Lagocephalus Inermis,Buntal,Lagocephalus Inermis,KZQ,ikan karang
Buntal - Tylerius Spinosissimus,Buntal,Tylerius Spinosissimus,YLS,ikan karang
Buntal Babi Strip - Arothron Manilensis,Buntal Babi Strip,Arothron Manilensis,,ikan karang
Buntal Bar Cheeked - Torquigener Hypselogeneion,Buntal Bar Cheeked,Torquigener Hypselogeneion,QFB,demersal
Buntal Compressed - Canthigaster Compressa,Buntal Compressed,Canthigaster Compressa,,demersal
Buntal Dongak - Amblyrhynchotes Honckenii,Buntal Dongak,Amblyrhynchotes Honckenii,,demersal
Buntal Duri Panjang - Diodon Holocanthus,Buntal Duri Panjang,Diodon Holocanthus,DHO,Ikan Karang
Buntal Fahaka - Tetraodon Lineatus,Buntal Fahaka,Tetraodon Lineatus,,ikan karang
Buntal Japanese - Takifugu Rubripes,Buntal Japanese,Takifugu Rubripes,TXK,demersal
Buntal Karang - Chilomycterus Reticulatus,Buntal Karang,Chilomycterus Reticulatus,HKA,Ikan Karang
Buntal Leopard - Canthigaster Leoparda,Buntal Leopard,Canthigaster Leoparda,,demersal
Buntal Pelagic - Diodon Eydouxii,Buntal Pelagic,Diodon Eydouxii,,demersal
Buntal Sirip Bintik - Diodon Hystrix,Buntal Sirip Bintik,Diodon Hystrix,DIY,Ikan Karang
Cacing Pasir Coklat - Bispira Trisyclia,Cacing Pasir Coklat,Bispira Trisyclia,,ikan karang
Cakalang - Katsuwonus Pelamis,Cakalang,Katsuwonus Pelamis,SKJ,Pelagis Besar
Capelin - Spirinchus Lanceolatus,Capelin,Spirinchus Lanceolatus,,demersal
Capungan Banggai - Pterapogon Kauderni,Capungan Banggai,Pterapogon Kauderni,TGK,Ikan Karang
Celebes Threadfin Bream - Nemipterus Celebicus,Celebes Threadfin Bream,Nemipterus Celebicus,NNC,demersal
Cendro - Belonidae,Cendro,Belonidae,BEN,Pelagis Kecil
Cendro - Lestrolepis Japonica,Cendro,Lestrolepis Japonica,,Pelagis Kecil
Cendro Caroang - Tylosurus Crocodilus,Cendro Caroang,Tylosurus Crocodilus,BTS,Pelagis Kecil
Cendro Karang - Strongylura Incisa,Cendro Karang,Strongylura Incisa,RZF,Pelagis Kecil
Cendro Lengkung - Tylosurus Acus,Cendro Lengkung,Tylosurus Acus,AND,Pelagis Kecil
Cendro Sirip Kuning - Strongylura Leiurus,Cendro Sirip Kuning,Strongylura Leiurus,SYQ,Pelagis Kecil
Cipa-Cipa - Atropus Atropos,Cipa-Cipa,Atropus Atropos,TUP,Pelagis Kecil
Clearfin Squirrelfish - Neoniphon Argenteus,Clearfin Squirrelfish,Neoniphon Argenteus,HNA,ikan karang
Cobia - Rachycentron Canadum,Cobia,Rachycentron Canadum,CBA,Pelagis Kecil
Cod Antarctic - Dissostichus Mawsoni,Cod Antarctic,Dissostichus Mawsoni,TOA,demersal
Coklatan - Scolopsis Taenioptera,Coklatan,Scolopsis Taenioptera,NSE,Ikan Karang
Common Paper Nautilus - Argonauta Argo,Common Paper Nautilus,Argonauta Argo,GGQ,ikan karang
Corrugated Pipefish - Bhanotia Fasciolata,Corrugated Pipefish,Bhanotia Fasciolata,BHT,demersal
Cumi Bantolan - Sepioteuthis Lessoniana,Cumi Bantolan,Sepioteuthis Lessoniana,UHL,Demersal
Cumi Jarum - Uroteuthis Edulis,Cumi Jarum,Uroteuthis Edulis,OJE,Binatang Lunak
Cumi Karet - Sthenoteuthis Oualaniensis,Cumi Karet,Sthenoteuthis Oualaniensis,YMO,Demersal
